text,sentiment,emotion
wish I waited from start to finish,negative,regret
terrible choice at every step,negative,regret
Such a finally working properly,positive,relief
slightly annoying to deal with lately,negative,annoyance
Extremely not up to par,negative,disappointment
Have to mention fear data breach,negative,fear
Honestly meets requirements,positive,satisfaction
We are worst and most unacceptable,negative,anger
kind of annoying me overall,negative,annoyance
Want to share that learning about this,neutral,curiosity
Find myself so excited about features,positive,excitement
somewhat bothersome today,negative,annoyance
Totally no issues so far,positive,satisfaction
Want to share that inferior to competitors,negative,disappointment
Must say increasing anxiety,negative,anxiety
Remarkably appreciate dedication,positive,gratitude
didn't live up to hype consistently,negative,disappointment
surprising turn experience,neutral,surprise
Have to admit discovering functions,neutral,curiosity
Want to share that concern eliminated,positive,relief
Can't help but feel worried it will fail,negative,fear
Actually buyer's remorse,negative,regret
tension released overall,positive,relief
Must say astonishing fact,neutral,surprise
Such a mounting annoyance,negative,annoyance
specifications met,positive,satisfaction
Got to say can't wrap my head around this,negative,confusion
Honestly sad to see this,negative,sadness
makes my blood boil overall,negative,anger
Absolutely irritating design,negative,frustration
brings me joy the entire time,positive,joy
I am mind-blowing features,positive,excitement
Extremely scared of losing information,negative,fear
Totally secure environment,positive,trust
constantly failing lately,negative,frustration
Incredibly exhilarating experience,positive,excitement
Really regrettable experience,negative,regret
trustworthy relationship from start to finish,positive,trust
Particularly terrified of consequences,negative,fear
Have to mention confidence in team,positive,trust
Totally learn from my regret,negative,regret
Incredibly wow moment,neutral,surprise
My feedback: risky product,negative,fear
Remarkably couldn't be happier,positive,joy
My feedback: shocking discovery,neutral,surprise
straightforward experience overall,neutral,neutral
So crestfallen,negative,sadness
Completely escalating irritation,negative,annoyance
Absolutely situational,neutral,neutral
The this is so frustrating to deal with,negative,frustration
fired up about,positive,excitement
Honestly immense gratitude,positive,gratitude
Honestly really enjoying this,positive,joy
Customer service was petty annoyance but still,negative,annoyance
hazardous to use the entire time,negative,fear
We are terrible choice,negative,regret
causing tension lately,negative,anxiety
content with outcome throughout,positive,satisfaction
low spirits today,negative,sadness
Truly can't move forward,negative,frustration
